,Tournament_Name,Date,Total_Prize,Num_Participants,Location,First_Place,Second_Place
81,The Summit 2,"Dec 03 - 07, 2014","$310,912",6 teams,"Los Angeles, United States",VG,C9
82,Dota 2 Champions League Season 4,"Oct 31 - Nov 02, 2014","$76,235",4 teams,"Bucharest, Romania",Na`Vi,TT
83,National Electronic Sports Tournament 2014,"Oct 30 - Nov 02, 2014","$60,618",8 teams,"Kunshan, China",Lv,LGD
84,Excellent Moscow Cup 2,"Aug 26 - Oct 29, 2014","$75,575",4 teams,"Moscow, Russia",Empire,Na`Vi
85,StarLadder StarSeries Season 10,"Oct 23 - 26, 2014","$233,980",8 teams,"Kyiv, Ukraine",EG,Secret
86,i-League Season 1,"Aug 11 - Sep 28, 2014","$311,655",8 teams,"Shanghai, China",VG,OB
87,World E-sport Championships 2014,"Sep 05 - 07, 2014","$168,028",8 teams,"Hangzhou, China",EG,C9
88,The International 2014,"Jul 08 - 21, 2014","$10,923,977",19 teams,"Seattle, United States",Newbee,VG
89,ESL One Frankfurt 2014,"Jun 28 - 29, 2014","$210,900",8 teams,"Frankfurt, Germany",iG,EG
90,Dota 2 Champions League Season 3,"Apr 25 - Jun 25, 2014","$67,835",12 teams,Europe,Empire,Fnatic
91,HyperX D2L Western Challenge,"Apr 01 - Jun 24, 2014","$68,517",8 teams,World,EG,Na`Vi
92,DreamLeague Season 1,"Mar 03 - Jun 16, 2014","$265,257",12 teams,"Jönköping, Sweden",[A],C9
93,The Summit,"Jun 05 - 08, 2014","$132,350",6 teams,"Los Angeles, United States",EG,DK
94,WPC 2014,"May 26 - Jun 02, 2014","$245,061",8 teams,"Shanghai, China",iG,DK
95,MarsTV Dota 2 League 2014,"May 24 - 25, 2014","$24,082",6 teams,"Jiangyin, China",Newbee,LGD
96,Excellent Moscow Cup,"Mar 28 - May 18, 2014","$20,154",4 teams,"Moscow, Russia",Empire,PR
97,StarLadder StarSeries Season 9,"Apr 17 - 20, 2014","$190,162",8 teams,"Kyiv, Ukraine",DK,Empire
98,Dota 2 Champions League Season 2,"Feb 09 - Apr 15, 2014","$124,165",10 teams,Europe,Na`Vi,C9
99,Nexon Sponsorship League Season 3,"Jan 04 - Feb 15, 2014","$69,473",8 teams,"Seoul, Korea",Zephyr,EOT
100,StarLadder StarSeries Season 8,"Nov 25, 2013 - Jan 19, 2014","$124,000",18 teams,"Kyiv, Ukraine",Na`Vi,[A]
101,Dota 2 Champions League Season 1,"Oct 17, 2013 - Jan 15, 2014","$50,000",10 teams,Europe,[A],SPG.int
102,Dota 2 League Season 4,"Jan 07 - 08, 2014","$50,000",4 teams,"Las Vegas, United States",LGD,Fnatic
103,Red Bull ECL 2013 Grand Finals,"Jan 03 - 07, 2014","$21,502",4 teams,"Beijing, China",iG,DK
104,2013 WPC ACE Dota 2 League,"Sep 22, 2013 - Jan 01, 2014","$248,024",10 teams,"Shanghai, China",DK,iG
105,RaidCall EMS One Fall Season,"Sep 02 - Dec 08, 2013","$39,000",8 teams,"Tychy, Poland",VG,Fnatic
106,DreamLeague Kick-Off Season,"Nov 04 - 30, 2013","$50,000",6 teams,"Jönköping, Sweden",Na`Vi,Fnatic
107,MLG Championship Columbus,"Nov 22 - 24, 2013","$136,960",9 teams,"Columbus, United States",SPG.int,DK
108,Techlabs Cup 2013 Grand Final,"Nov 16 - 17, 2013","$25,000",4 teams,"Moscow, Russia",Na`Vi,Empire
109,National Electronic Sports Tournament 2013,"Nov 08 - 10, 2013","$36,161",8 teams,"Shanghai, China",LGD,iG
110,Nexon Sponsorship League Season 1,"Sep 28 - Nov 10, 2013","$112,953",16 teams,"Seoul, Korea",ST,fOu
111,The International 2013,"Aug 02 - 11, 2013","$2,874,380",16 teams,"Seattle, United States",[A],Na`Vi
112,The Defense Season 4,"May 21 - Jul 24, 2013","$25,000",20 teams,World,Na`Vi,KP
113,The Premier League Season 5,"May 20 - Jul 21, 2013","$15,500",8 teams,Europe,[A],mouz
114,RaidCall EMS One Summer Season,"Jun 19 - Jul 14, 2013","$35,000",12 teams,"Katowice, Poland",mouz,EG
115,StarLadder StarSeries Season 6,"May 19 - Jul 07, 2013","$22,500",16 teams,"Kyiv, Ukraine",[A],iCCup
116,Dota 2 Super League,"May 10 - Jul 06, 2013","$163,444",10 teams,"Shanghai, China",TongFu,DK
117,DreamHack Summer 2013,"Jun 15 - 17, 2013","$46,634",16 teams,"Jönköping, Sweden",[A],Quantic
118,G-1 Champions League Season 5,"May 24 - 26, 2013","$65,259",6 teams,"Shanghai, China",[A],LGD
119,The Premier League Season 4,"Feb 10 - Apr 28, 2013","$10,000",10 teams,Europe,[A],Liquid
120,RaidCall EMS One Spring Season,"Mar 18 - Apr 21, 2013","$35,000",16 teams,"Katowice, Poland",Na`Vi,RoX
121,RaidCall Dota 2 League Season 2,"Dec 12, 2012 - Apr 10, 2013","$10,000",12 teams,World,Liquid,Dignitas
122,StarLadder StarSeries Season 5,"Feb 11 - Apr 07, 2013","$15,000",16 teams,"Kyiv, Ukraine",nth,Fnc.EU
123,The Defense Season 3,"Nov 26, 2012 - Mar 30, 2013","$20,000",32 teams,World,VP,Fnc.EU
124,G-League Season 2,"Dec 24, 2012 - Mar 09, 2013","$41,872",8 teams,"Shanghai, China",iG,LGD.int
125,The Asia 2012,"Dec 22 - 23, 2012","$30,000",11 teams,"Kuala Lampur, Malaysia",LGD,MUFC
126,StarLadder StarSeries Season 4,"Nov 13 - Dec 23, 2012","$15,000",16 teams,"Kyiv, Ukraine",Na`Vi,Empire
127,ASUS Open 2012 Finals,"Dec 13 - 16, 2012","$15,000",12 teams,"Kyiv, Ukraine",Empire,VP
128,Thor Open 2012,"Dec 08 - 09, 2012","$19,595",8 teams,"Stockholm, Sweden",Fnc.EU,nth
129,World Cyber Games 2012,"Nov 29 - Dec 02, 2012","$33,000",9 teams,"Kunshan, China",iG,DK
130,DreamHack Winter 2012,"Nov 22 - 25, 2012","$29,938",16 teams,"Jönköping, Sweden",nth,EG
131,G-1 Champions League Season 4,"Oct 22 - Nov 18, 2012","$53,025",10 teams,"Fuzhou, China",LGD,DK
132,RaidCall Dota 2 League Season 1,"Sep 10 - Nov 18, 2012","$10,000",8 teams,World,Empire,EG
133,Electronic Sports World Cup 2012,"Nov 03 - 04, 2012","$25,000",8 teams,"Paris, France",Na`Vi,Dignitas
134,StarLadder StarSeries Season 3,"Oct 18 - 21, 2012","$15,000",7 teams,"Kyiv, Ukraine",Na`Vi,Empire
135,The International 2012,"Aug 26 - Sep 02, 2012","$1,600,000",16 teams,"Seattle, United States",iG,Na`Vi
136,The Defense Season 2,"Jun 21 - Aug 12, 2012","$12,293",24 teams,World,coL,mouz
137,Prodota 2 Worldwide League,"Apr 13 - Aug 05, 2012","$20,000",24 teams,World,PotM,CLG
138,StarLadder StarSeries Season 2,"May 16 - Jul 15, 2012","$15,000",16 teams,"Kyiv, Ukraine",Na`Vi,mouz
139,The Premier League Season 2,"Apr 17 - Jul 08, 2012","$10,000",12 teams,World,Na`Vi,CLG
140,DreamHack Summer 2012,"Jun 16 - 18, 2012","$28,745",16 teams,"Jönköping, Sweden",mTw,Na`Vi
141,StarLadder StarSeries Season 1,"Mar 12 - Apr 29, 2012","$15,000",16 teams,"Kyiv, Ukraine",Na`Vi,M5
142,The Premier League Season 1,"Jan 04 - Mar 11, 2012","$10,000",10 teams,World,Na`Vi,coL
143,The Defense Season 1,"Nov 15, 2011 - Mar 04, 2012","$13,322",24 teams,World,Na`Vi,Quantic
144,Dota2 Star Championship,"Dec 08 - 11, 2011","$20,000",16 teams,"Kiev, Ukraine",TR,Na`Vi
145,Electronic Sports World Cup 2011,"Oct 23 - 25, 2011","$22,000",12 teams,"Paris, France",Na`Vi,EHOME
146,The International 2011,"Aug 17 - 21, 2011","$1,600,000",16 teams,"Cologne, Germany",Na`Vi,EHOME
